Tract ID,County,Vacant Units,Year
4081,Alameda,303,2010
4082,Alameda,322,2010
4083,Alameda,93,2010
4084,Alameda,264,2010
4085,Alameda,320,2010
4086,Alameda,252,2010
4087,Alameda,476,2010
4088,Alameda,225,2010
4089,Alameda,117,2010
4090,Alameda,81,2010
4091,Alameda,22,2010
4092,Alameda,149,2010
4093,Alameda,185,2010
4094,Alameda,150,2010
4095,Alameda,206,2010
4096,Alameda,262,2010
4097,Alameda,325,2010
4098,Alameda,107,2010
4099,Alameda,123,2010
4100,Alameda,45,2010
4101,Alameda,81,2010
4102,Alameda,203,2010
4103,Alameda,90,2010
4104,Alameda,112,2010
4105,Alameda,80,2010
4201,Alameda,31,2010
4202,Alameda,79,2010
4203,Alameda,89,2010
4204,Alameda,38,2010
4205,Alameda,155,2010
4206,Alameda,80,2010
4211,Alameda,0,2010
4212,Alameda,132,2010
4213,Alameda,114,2010
4214,Alameda,33,2010
4215,Alameda,43,2010
4216,Alameda,98,2010
4217,Alameda,108,2010
4218,Alameda,87,2010
4219,Alameda,194,2010
4220,Alameda,60,2010
4221,Alameda,131,2010
4222,Alameda,106,2010
4223,Alameda,190,2010
4224,Alameda,42,2010
4225,Alameda,80,2010
4226,Alameda,0,2010
4227,Alameda,108,2010
4228,Alameda,128,2010
4229,Alameda,143,2010
4230,Alameda,117,2010
4231,Alameda,137,2010
4232,Alameda,134,2010
4233,Alameda,166,2010
4234,Alameda,253,2010
4235,Alameda,112,2010
4236.01,Alameda,68,2010
4236.02,Alameda,221,2010
4237,Alameda,240,2010
4238,Alameda,112,2010
4239.01,Alameda,63,2010
4239.02,Alameda,26,2010
4240.01,Alameda,222,2010
4240.02,Alameda,69,2010
4251.01,Alameda,0,2010
4251.02,Alameda,303,2010
4251.03,Alameda,82,2010
4251.04,Alameda,153,2010
4261,Alameda,90,2010
4262,Alameda,127,2010
4271,Alameda,64,2010
4272,Alameda,93,2010
4273,Alameda,147,2010
4276,Alameda,292,2010
4277,Alameda,175,2010
4278,Alameda,179,2010
4279,Alameda,93,2010
4280,Alameda,61,2010
4281,Alameda,116,2010
4282,Alameda,124,2010
4283.01,Alameda,144,2010
4283.02,Alameda,128,2010
4284,Alameda,240,2010
4285,Alameda,99,2010
4286,Alameda,118,2010
4287,Alameda,322,2010
4301.01,Alameda,19,2010
4301.02,Alameda,17,2010
4302,Alameda,73,2010
4303,Alameda,48,2010
4304,Alameda,0,2010
4305,Alameda,195,2010
4306,Alameda,57,2010
4307,Alameda,99,2010
4308,Alameda,48,2010
4309,Alameda,52,2010
4310,Alameda,33,2010
4311,Alameda,51,2010
4312,Alameda,271,2010
4321,Alameda,84,2010
4322,Alameda,164,2010
4323,Alameda,129,2010
4324,Alameda,117,2010
4325.01,Alameda,15,2010
4325.02,Alameda,0,2010
4326,Alameda,58,2010
4327,Alameda,29,2010
4328,Alameda,85,2010
4330,Alameda,107,2010
4331.02,Alameda,55,2010
4331.03,Alameda,9,2010
4331.04,Alameda,183,2010
4332,Alameda,110,2010
4333,Alameda,58,2010
4334,Alameda,36,2010
4335,Alameda,73,2010
4336,Alameda,73,2010
4337,Alameda,137,2010
4338,Alameda,71,2010
4339,Alameda,322,2010
4340,Alameda,125,2010
4351.02,Alameda,81,2010
4351.03,Alameda,46,2010
4351.04,Alameda,267,2010
4352,Alameda,104,2010
4353,Alameda,179,2010
4354,Alameda,233,2010
4355,Alameda,202,2010
4356.01,Alameda,43,2010
4356.02,Alameda,277,2010
4357,Alameda,107,2010
4358,Alameda,37,2010
4359,Alameda,10,2010
4360,Alameda,57,2010
4361,Alameda,0,2010
4362,Alameda,65,2010
4363,Alameda,159,2010
4364.01,Alameda,381,2010
4364.02,Alameda,78,2010
4365,Alameda,154,2010
4366.01,Alameda,141,2010
4366.02,Alameda,121,2010
4367,Alameda,0,2010
4368,Alameda,109,2010
4369,Alameda,183,2010
4370,Alameda,179,2010
4371.01,Alameda,198,2010
4371.02,Alameda,82,2010
4372,Alameda,253,2010
4373,Alameda,99,2010
4374,Alameda,102,2010
4375,Alameda,131,2010
4376,Alameda,66,2010
4377.01,Alameda,201,2010
4377.02,Alameda,215,2010
4378,Alameda,209,2010
4379,Alameda,55,2010
4380,Alameda,100,2010
4381,Alameda,148,2010
4382.01,Alameda,117,2010
4382.03,Alameda,93,2010
4382.04,Alameda,99,2010
4383,Alameda,38,2010
4384,Alameda,0,2010
4401,Alameda,98,2010
4402,Alameda,63,2010
4403.01,Alameda,221,2010
4403.04,Alameda,111,2010
4403.05,Alameda,17,2010
4403.06,Alameda,138,2010
4403.07,Alameda,195,2010
4403.08,Alameda,128,2010
4403.31,Alameda,149,2010
4403.32,Alameda,41,2010
4403.33,Alameda,119,2010
4403.34,Alameda,58,2010
4403.35,Alameda,76,2010
4403.36,Alameda,86,2010
4411,Alameda,149,2010
4412,Alameda,198,2010
4413.01,Alameda,91,2010
4413.02,Alameda,146,2010
4414.01,Alameda,95,2010
4414.02,Alameda,129,2010
4415.01,Alameda,39,2010
4415.03,Alameda,115,2010
4415.21,Alameda,25,2010
4415.22,Alameda,11,2010
4415.23,Alameda,0,2010
4415.24,Alameda,39,2010
4416.01,Alameda,53,2010
4416.02,Alameda,140,2010
4417,Alameda,326,2010
4418,Alameda,91,2010
4419.21,Alameda,126,2010
4419.23,Alameda,354,2010
4419.24,Alameda,271,2010
4419.25,Alameda,324,2010
4419.26,Alameda,160,2010
4419.27,Alameda,286,2010
4420,Alameda,0,2010
4421,Alameda,93,2010
4422,Alameda,119,2010
4423.01,Alameda,65,2010
4423.02,Alameda,169,2010
4424,Alameda,96,2010
4425,Alameda,194,2010
4426.01,Alameda,42,2010
4426.02,Alameda,91,2010
4427,Alameda,28,2010
4428,Alameda,168,2010
4429,Alameda,320,2010
4430.01,Alameda,24,2010
4430.02,Alameda,81,2010
4431.02,Alameda,69,2010
4431.03,Alameda,124,2010
4431.04,Alameda,185,2010
4431.05,Alameda,46,2010
4432,Alameda,47,2010
4433.01,Alameda,4,2010
4433.21,Alameda,50,2010
4433.22,Alameda,105,2010
4441,Alameda,113,2010
4442,Alameda,80,2010
4443.01,Alameda,37,2010
4443.02,Alameda,45,2010
4444,Alameda,150,2010
4445,Alameda,209,2010
4446.01,Alameda,96,2010
4446.02,Alameda,77,2010
4501.01,Alameda,102,2010
4501.02,Alameda,66,2010
4502,Alameda,231,2010
4503,Alameda,83,2010
4504,Alameda,94,2010
4505.01,Alameda,28,2010
4505.02,Alameda,0,2010
4506.01,Alameda,109,2010
4506.02,Alameda,113,2010
4506.03,Alameda,53,2010
4506.04,Alameda,28,2010
4506.05,Alameda,39,2010
4506.06,Alameda,7,2010
4506.07,Alameda,130,2010
4507.01,Alameda,43,2010
4507.41,Alameda,58,2010
4507.42,Alameda,32,2010
4507.43,Alameda,146,2010
4507.44,Alameda,16,2010
4507.45,Alameda,47,2010
4507.46,Alameda,42,2010
4507.50,Alameda,91,2010
4507.51,Alameda,41,2010
4507.52,Alameda,74,2010
4511.01,Alameda,135,2010
4511.02,Alameda,0,2010
4512.01,Alameda,115,2010
4512.02,Alameda,25,2010
4513,Alameda,97,2010
4514.01,Alameda,166,2010
4514.03,Alameda,116,2010
4514.04,Alameda,65,2010
4515.01,Alameda,25,2010
4515.03,Alameda,113,2010
4515.04,Alameda,0,2010
4515.05,Alameda,0,2010
4515.06,Alameda,161,2010
4516.01,Alameda,100,2010
4516.02,Alameda,221,2010
4517.01,Alameda,15,2010
4517.03,Alameda,56,2010
4517.04,Alameda,56,2010
9819,Alameda,0,2010
9820,Alameda,0,2010
9832,Alameda,0,2010
9900,Alameda,0,2010
3010,Contra Costa,370,2010
3020.05,Contra Costa,82,2010
3020.06,Contra Costa,164,2010
3020.07,Contra Costa,148,2010
3020.08,Contra Costa,226,2010
3020.09,Contra Costa,210,2010
3020.10,Contra Costa,152,2010
3031.02,Contra Costa,123,2010
3031.03,Contra Costa,312,2010
3032.01,Contra Costa,178,2010
3032.02,Contra Costa,216,2010
3032.03,Contra Costa,252,2010
3032.04,Contra Costa,113,2010
3032.05,Contra Costa,123,2010
3040.01,Contra Costa,112,2010
3040.02,Contra Costa,71,2010
3040.03,Contra Costa,289,2010
3040.04,Contra Costa,384,2010
3040.05,Contra Costa,199,2010
3050,Contra Costa,469,2010
3060.02,Contra Costa,59,2010
3060.03,Contra Costa,245,2010
3060.04,Contra Costa,123,2010
3071.01,Contra Costa,54,2010
3071.02,Contra Costa,266,2010
3072.01,Contra Costa,137,2010
3072.02,Contra Costa,341,2010
3072.04,Contra Costa,71,2010
3072.05,Contra Costa,332,2010
3080.01,Contra Costa,295,2010
3080.02,Contra Costa,103,2010
3090,Contra Costa,199,2010
3100,Contra Costa,278,2010
3110,Contra Costa,238,2010
3120,Contra Costa,92,2010
3131.01,Contra Costa,317,2010
3131.02,Contra Costa,167,2010
3131.03,Contra Costa,138,2010
3132.03,Contra Costa,51,2010
3132.04,Contra Costa,180,2010
3132.05,Contra Costa,0,2010
3132.06,Contra Costa,118,2010
3141.02,Contra Costa,158,2010
3141.03,Contra Costa,122,2010
3141.04,Contra Costa,327,2010
3142,Contra Costa,175,2010
3150,Contra Costa,50,2010
3160,Contra Costa,114,2010
3170,Contra Costa,56,2010
3180,Contra Costa,131,2010
3190,Contra Costa,200,2010
3200.01,Contra Costa,36,2010
3200.03,Contra Costa,68,2010
3200.04,Contra Costa,164,2010
3211.01,Contra Costa,51,2010
3211.02,Contra Costa,50,2010
3211.03,Contra Costa,110,2010
3212,Contra Costa,103,2010
3220,Contra Costa,139,2010
3230,Contra Costa,139,2010
3240.01,Contra Costa,161,2010
3240.02,Contra Costa,90,2010
3250,Contra Costa,29,2010
3260,Contra Costa,25,2010
3270,Contra Costa,207,2010
3280,Contra Costa,121,2010
3290,Contra Costa,56,2010
3300,Contra Costa,171,2010
3310,Contra Costa,107,2010
3320,Contra Costa,52,2010
3331.01,Contra Costa,10,2010
3331.02,Contra Costa,18,2010
3332,Contra Costa,100,2010
3340.01,Contra Costa,35,2010
3340.04,Contra Costa,316,2010
3340.06,Contra Costa,61,2010
3342,Contra Costa,90,2010
3350,Contra Costa,55,2010
3361.01,Contra Costa,325,2010
3361.02,Contra Costa,193,2010
3362.01,Contra Costa,105,2010
3362.02,Contra Costa,247,2010
3371,Contra Costa,81,2010
3372,Contra Costa,190,2010
3373,Contra Costa,107,2010
3381.01,Contra Costa,290,2010
3381.02,Contra Costa,62,2010
3382.01,Contra Costa,5,2010
3382.03,Contra Costa,86,2010
3382.04,Contra Costa,230,2010
3383.01,Contra Costa,40,2010
3383.02,Contra Costa,26,2010
3390.01,Contra Costa,205,2010
3390.02,Contra Costa,474,2010
3400.01,Contra Costa,242,2010
3400.02,Contra Costa,54,2010
3410,Contra Costa,42,2010
3430.01,Contra Costa,52,2010
3430.02,Contra Costa,50,2010
3430.03,Contra Costa,32,2010
3451.01,Contra Costa,133,2010
3451.02,Contra Costa,24,2010
3451.03,Contra Costa,59,2010
3451.05,Contra Costa,66,2010
3451.08,Contra Costa,169,2010
3451.11,Contra Costa,145,2010
3451.12,Contra Costa,121,2010
3451.13,Contra Costa,38,2010
3451.14,Contra Costa,59,2010
3451.15,Contra Costa,166,2010
3451.16,Contra Costa,0,2010
3452.02,Contra Costa,90,2010
3452.03,Contra Costa,94,2010
3452.04,Contra Costa,0,2010
3461.01,Contra Costa,27,2010
3461.02,Contra Costa,128,2010
3462.01,Contra Costa,17,2010
3462.03,Contra Costa,27,2010
3462.04,Contra Costa,51,2010
3470,Contra Costa,13,2010
3480,Contra Costa,78,2010
3490,Contra Costa,199,2010
3500,Contra Costa,165,2010
3511.01,Contra Costa,261,2010
3511.02,Contra Costa,219,2010
3511.03,Contra Costa,101,2010
3512,Contra Costa,13,2010
3521.01,Contra Costa,30,2010
3521.02,Contra Costa,45,2010
3522.01,Contra Costa,71,2010
3522.02,Contra Costa,52,2010
3530.01,Contra Costa,35,2010
3530.02,Contra Costa,83,2010
3540.01,Contra Costa,23,2010
3540.02,Contra Costa,89,2010
3551.07,Contra Costa,145,2010
3551.08,Contra Costa,392,2010
3551.09,Contra Costa,116,2010
3551.10,Contra Costa,8,2010
3551.11,Contra Costa,159,2010
3551.12,Contra Costa,172,2010
3551.13,Contra Costa,229,2010
3551.14,Contra Costa,74,2010
3551.15,Contra Costa,30,2010
3551.16,Contra Costa,37,2010
3551.17,Contra Costa,94,2010
3552,Contra Costa,436,2010
3553.01,Contra Costa,64,2010
3553.02,Contra Costa,0,2010
3553.04,Contra Costa,139,2010
3553.06,Contra Costa,0,2010
3560.01,Contra Costa,33,2010
3560.02,Contra Costa,37,2010
3570,Contra Costa,171,2010
3580,Contra Costa,163,2010
3591.02,Contra Costa,210,2010
3591.03,Contra Costa,225,2010
3591.04,Contra Costa,53,2010
3591.05,Contra Costa,80,2010
3592.02,Contra Costa,135,2010
3592.03,Contra Costa,0,2010
3592.04,Contra Costa,100,2010
3601.01,Contra Costa,92,2010
3601.02,Contra Costa,20,2010
3602,Contra Costa,215,2010
3610,Contra Costa,218,2010
3620,Contra Costa,124,2010
3630,Contra Costa,175,2010
3640.02,Contra Costa,128,2010
3650.02,Contra Costa,288,2010
3650.03,Contra Costa,274,2010
3660.01,Contra Costa,64,2010
3660.02,Contra Costa,110,2010
3671,Contra Costa,248,2010
3672,Contra Costa,130,2010
3680.01,Contra Costa,127,2010
3680.02,Contra Costa,97,2010
3690.01,Contra Costa,225,2010
3690.02,Contra Costa,59,2010
3700,Contra Costa,48,2010
3710,Contra Costa,173,2010
3720,Contra Costa,147,2010
3730,Contra Costa,105,2010
3740,Contra Costa,215,2010
3750,Contra Costa,204,2010
3760,Contra Costa,413,2010
3770,Contra Costa,497,2010
3780,Contra Costa,493,2010
3790,Contra Costa,383,2010
3800,Contra Costa,509,2010
3810,Contra Costa,386,2010
3820,Contra Costa,370,2010
3830,Contra Costa,78,2010
3840,Contra Costa,115,2010
3851,Contra Costa,69,2010
3852,Contra Costa,48,2010
3860,Contra Costa,41,2010
3870,Contra Costa,65,2010
3880,Contra Costa,30,2010
3891,Contra Costa,66,2010
3892,Contra Costa,23,2010
3901,Contra Costa,11,2010
3902,Contra Costa,0,2010
3910,Contra Costa,64,2010
3920,Contra Costa,79,2010
3922,Contra Costa,148,2010
3923,Contra Costa,96,2010
9900,Contra Costa,0,2010
1011,Marin,91,2010
1012,Marin,43,2010
1021,Marin,22,2010
1022.02,Marin,102,2010
1022.03,Marin,197,2010
1031,Marin,132,2010
1032,Marin,23,2010
1041.01,Marin,62,2010
1041.02,Marin,117,2010
1042,Marin,0,2010
1043,Marin,41,2010
1050,Marin,314,2010
1060.01,Marin,133,2010
1060.02,Marin,18,2010
1070,Marin,0,2010
1081,Marin,122,2010
1082,Marin,195,2010
1090.01,Marin,177,2010
1090.02,Marin,99,2010
1101,Marin,161,2010
1102,Marin,86,2010
1110,Marin,267,2010
1121,Marin,148,2010
1122.01,Marin,54,2010
1122.02,Marin,80,2010
1130,Marin,65,2010
1141,Marin,114,2010
1142,Marin,99,2010
1150,Marin,57,2010
1160,Marin,90,2010
1170,Marin,220,2010
1181,Marin,135,2010
1191,Marin,72,2010
1192.01,Marin,74,2010
1192.02,Marin,0,2010
1200,Marin,118,2010
1211,Marin,57,2010
1212,Marin,70,2010
1220,Marin,0,2010
1230,Marin,145,2010
1241,Marin,168,2010
1242,Marin,196,2010
1250,Marin,191,2010
1261,Marin,194,2010
1262,Marin,102,2010
1270,Marin,250,2010
1281,Marin,158,2010
1282,Marin,184,2010
1290,Marin,89,2010
1302.01,Marin,95,2010
1302.02,Marin,189,2010
1311,Marin,118,2010
1321,Marin,832,2010
1322,Marin,430,2010
1330,Marin,607,2010
9901,Marin,0,2010
2002.01,Napa,93,2010
2002.02,Napa,115,2010
2002.03,Napa,61,2010
2003.01,Napa,94,2010
2003.02,Napa,44,2010
2004,Napa,120,2010
2005.01,Napa,8,2010
2005.03,Napa,54,2010
2005.04,Napa,85,2010
2005.05,Napa,115,2010
2006.01,Napa,89,2010
2006.02,Napa,115,2010
2007.03,Napa,48,2010
2007.04,Napa,142,2010
2007.05,Napa,70,2010
2007.06,Napa,92,2010
2007.07,Napa,72,2010
2008.02,Napa,129,2010
2008.03,Napa,38,2010
2008.04,Napa,41,2010
2009,Napa,0,2010
2010.03,Napa,142,2010
2010.04,Napa,74,2010
2010.05,Napa,0,2010
2010.06,Napa,31,2010
2010.07,Napa,37,2010
2011.01,Napa,18,2010
2011.02,Napa,177,2010
2012,Napa,232,2010
2013,Napa,173,2010
2014.01,Napa,584,2010
2014.02,Napa,84,2010
2014.03,Napa,170,2010
2015,Napa,298,2010
2016.01,Napa,76,2010
2016.02,Napa,195,2010
2017,Napa,355,2010
2018,Napa,333,2010
2019,Napa,338,2010
2020,Napa,185,2010
101,San Francisco,63,2010
102,San Francisco,342,2010
103,San Francisco,312,2010
104,San Francisco,589,2010
105,San Francisco,363,2010
106,San Francisco,420,2010
107,San Francisco,229,2010
108,San Francisco,416,2010
109,San Francisco,347,2010
110,San Francisco,89,2010
111,San Francisco,353,2010
112,San Francisco,689,2010
113,San Francisco,82,2010
117,San Francisco,413,2010
118,San Francisco,85,2010
119.01,San Francisco,426,2010
119.02,San Francisco,398,2010
120,San Francisco,365,2010
121,San Francisco,377,2010
122.01,San Francisco,332,2010
122.02,San Francisco,83,2010
123.01,San Francisco,514,2010
123.02,San Francisco,884,2010
124.01,San Francisco,302,2010
124.02,San Francisco,399,2010
125.01,San Francisco,509,2010
125.02,San Francisco,330,2010
126.01,San Francisco,228,2010
126.02,San Francisco,299,2010
127,San Francisco,197,2010
128,San Francisco,326,2010
129.01,San Francisco,233,2010
129.02,San Francisco,134,2010
130,San Francisco,340,2010
131.01,San Francisco,183,2010
131.02,San Francisco,189,2010
132,San Francisco,324,2010
133,San Francisco,302,2010
134,San Francisco,450,2010
135,San Francisco,134,2010
151,San Francisco,230,2010
152,San Francisco,210,2010
153,San Francisco,84,2010
154,San Francisco,185,2010
155,San Francisco,197,2010
156,San Francisco,98,2010
157,San Francisco,288,2010
158.01,San Francisco,217,2010
158.02,San Francisco,152,2010
159,San Francisco,186,2010
160,San Francisco,184,2010
161,San Francisco,331,2010
162,San Francisco,188,2010
163,San Francisco,257,2010
164,San Francisco,169,2010
165,San Francisco,319,2010
166,San Francisco,193,2010
167,San Francisco,286,2010
168.01,San Francisco,88,2010
168.02,San Francisco,273,2010
169,San Francisco,52,2010
170,San Francisco,228,2010
171.01,San Francisco,230,2010
171.02,San Francisco,112,2010
176.01,San Francisco,772,2010
177,San Francisco,147,2010
178.01,San Francisco,285,2010
178.02,San Francisco,414,2010
179.02,San Francisco,303,2010
180,San Francisco,73,2010
201,San Francisco,318,2010
202,San Francisco,454,2010
203,San Francisco,225,2010
204.01,San Francisco,310,2010
204.02,San Francisco,116,2010
205,San Francisco,101,2010
206,San Francisco,154,2010
207,San Francisco,35,2010
208,San Francisco,221,2010
209,San Francisco,84,2010
210,San Francisco,120,2010
211,San Francisco,64,2010
212,San Francisco,128,2010
213,San Francisco,30,2010
214,San Francisco,92,2010
215,San Francisco,308,2010
216,San Francisco,121,2010
217,San Francisco,129,2010
218,San Francisco,73,2010
226,San Francisco,26,2010
227.02,San Francisco,48,2010
227.04,San Francisco,115,2010
228.01,San Francisco,55,2010
228.02,San Francisco,47,2010
228.03,San Francisco,147,2010
229.01,San Francisco,110,2010
229.02,San Francisco,16,2010
229.03,San Francisco,23,2010
230.01,San Francisco,111,2010
230.03,San Francisco,130,2010
231.02,San Francisco,150,2010
231.03,San Francisco,170,2010
232,San Francisco,102,2010
233,San Francisco,111,2010
234,San Francisco,91,2010
251,San Francisco,56,2010
252,San Francisco,150,2010
253,San Francisco,103,2010
254.01,San Francisco,47,2010
254.02,San Francisco,65,2010
254.03,San Francisco,129,2010
255,San Francisco,73,2010
256,San Francisco,46,2010
257.01,San Francisco,137,2010
257.02,San Francisco,121,2010
258,San Francisco,70,2010
259,San Francisco,142,2010
260.01,San Francisco,100,2010
260.02,San Francisco,55,2010
260.03,San Francisco,93,2010
260.04,San Francisco,32,2010
261,San Francisco,38,2010
262,San Francisco,209,2010
263.01,San Francisco,103,2010
263.02,San Francisco,59,2010
263.03,San Francisco,58,2010
264.01,San Francisco,22,2010
264.02,San Francisco,22,2010
264.03,San Francisco,77,2010
264.04,San Francisco,59,2010
301.01,San Francisco,162,2010
301.02,San Francisco,190,2010
302.01,San Francisco,39,2010
302.02,San Francisco,210,2010
303.01,San Francisco,228,2010
303.02,San Francisco,128,2010
304,San Francisco,136,2010
305,San Francisco,54,2010
306,San Francisco,105,2010
307,San Francisco,152,2010
308,San Francisco,154,2010
309,San Francisco,93,2010
310,San Francisco,101,2010
311,San Francisco,98,2010
312.01,San Francisco,148,2010
312.02,San Francisco,0,2010
313.01,San Francisco,83,2010
313.02,San Francisco,181,2010
314,San Francisco,40,2010
326.01,San Francisco,103,2010
326.02,San Francisco,104,2010
327,San Francisco,72,2010
328.01,San Francisco,182,2010
328.02,San Francisco,87,2010
329.01,San Francisco,15,2010
329.02,San Francisco,32,2010
330,San Francisco,75,2010
331,San Francisco,132,2010
332.01,San Francisco,102,2010
332.03,San Francisco,247,2010
332.04,San Francisco,197,2010
351,San Francisco,138,2010
352.01,San Francisco,300,2010
352.02,San Francisco,166,2010
353,San Francisco,130,2010
354,San Francisco,230,2010
401,San Francisco,151,2010
402,San Francisco,313,2010
426.01,San Francisco,148,2010
426.02,San Francisco,93,2010
427,San Francisco,172,2010
428,San Francisco,127,2010
451,San Francisco,186,2010
452,San Francisco,169,2010
476,San Francisco,218,2010
477.01,San Francisco,176,2010
477.02,San Francisco,68,2010
478.01,San Francisco,314,2010
478.02,San Francisco,49,2010
479.01,San Francisco,174,2010
479.02,San Francisco,73,2010
601,San Francisco,224,2010
604,San Francisco,54,2010
605.02,San Francisco,87,2010
607,San Francisco,264,2010
610,San Francisco,62,2010
611,San Francisco,296,2010
612,San Francisco,132,2010
614,San Francisco,230,2010
615.00,San Francisco,1721,2010
9802,San Francisco,0,2010
9803,San Francisco,0,2010
9804.01,San Francisco,0,2010
9805.01,San Francisco,0,2010
9806,San Francisco,38,2010
9809,San Francisco,49,2010
9901,San Francisco,0,2010
6001,San Mateo,90,2010
6002,San Mateo,45,2010
6003,San Mateo,34,2010
6004.01,San Mateo,0,2010
6004.02,San Mateo,0,2010
6005,San Mateo,0,2010
6006,San Mateo,84,2010
6007,San Mateo,181,2010
6008,San Mateo,240,2010
6009,San Mateo,98,2010
6010,San Mateo,19,2010
6011,San Mateo,135,2010
6012,San Mateo,175,2010
6013,San Mateo,286,2010
6014,San Mateo,140,2010
6015.01,San Mateo,87,2010
6015.02,San Mateo,66,2010
6016.01,San Mateo,30,2010
6016.03,San Mateo,195,2010
6016.04,San Mateo,111,2010
6016.05,San Mateo,57,2010
6017,San Mateo,0,2010
6018,San Mateo,39,2010
6019.01,San Mateo,51,2010
6019.02,San Mateo,22,2010
6020,San Mateo,44,2010
6021,San Mateo,108,2010
6022,San Mateo,121,2010
6023,San Mateo,0,2010
6024,San Mateo,45,2010
6025,San Mateo,114,2010
6026,San Mateo,201,2010
6027,San Mateo,29,2010
6028,San Mateo,64,2010
6029,San Mateo,68,2010
6030,San Mateo,91,2010
6031,San Mateo,69,2010
6032,San Mateo,11,2010
6033,San Mateo,173,2010
6034,San Mateo,33,2010
6037,San Mateo,22,2010
6038.01,San Mateo,164,2010
6038.02,San Mateo,13,2010
6039,San Mateo,94,2010
6040,San Mateo,24,2010
6041.01,San Mateo,0,2010
6041.02,San Mateo,124,2010
6042,San Mateo,76,2010
6044,San Mateo,74,2010
6045,San Mateo,110,2010
6046,San Mateo,15,2010
6047,San Mateo,31,2010
6048,San Mateo,146,2010
6049,San Mateo,50,2010
6050,San Mateo,233,2010
6051,San Mateo,52,2010
6052,San Mateo,61,2010
6053,San Mateo,85,2010
6054,San Mateo,38,2010
6055,San Mateo,413,2010
6056,San Mateo,158,2010
6057,San Mateo,77,2010
6058,San Mateo,38,2010
6059,San Mateo,85,2010
6060,San Mateo,236,2010
6061,San Mateo,33,2010
6062,San Mateo,134,2010
6063,San Mateo,215,2010
6064,San Mateo,141,2010
6065,San Mateo,0,2010
6066,San Mateo,65,2010
6067,San Mateo,23,2010
6068,San Mateo,38,2010
6069,San Mateo,0,2010
6070,San Mateo,71,2010
6071,San Mateo,28,2010
6072,San Mateo,66,2010
6073,San Mateo,127,2010
6074,San Mateo,99,2010
6075,San Mateo,264,2010
6076,San Mateo,9,2010
6077.01,San Mateo,37,2010
6077.02,San Mateo,0,2010
6078,San Mateo,125,2010
6079,San Mateo,154,2010
6080.01,San Mateo,86,2010
6080.02,San Mateo,64,2010
6080.04,San Mateo,209,2010
6080.13,San Mateo,81,2010
6080.23,San Mateo,11,2010
6081,San Mateo,53,2010
6082,San Mateo,19,2010
6083,San Mateo,16,2010
6084,San Mateo,186,2010
6085.01,San Mateo,93,2010
6085.02,San Mateo,3,2010
6086,San Mateo,76,2010
6087,San Mateo,147,2010
6088,San Mateo,109,2010
6089,San Mateo,125,2010
6090,San Mateo,55,2010
6091,San Mateo,29,2010
6092.01,San Mateo,26,2010
6092.02,San Mateo,37,2010
6093,San Mateo,19,2010
6094,San Mateo,34,2010
6095,San Mateo,70,2010
6096.01,San Mateo,23,2010
6096.02,San Mateo,10,2010
6096.03,San Mateo,136,2010
6097,San Mateo,62,2010
